Date mutation,Valeur fonciere,No voie,Type de voie,Voie,Code ID commune,Code postal,Commune,Code departement,Code commune,1er lot,Surface Carrez du 1er lot,Type local,Surface reelle bati,Nombre pieces principales
2020-05-06 00:00:00,115000,44.0,RUE,PASTEUR,15,1150.0,LAGNIEU,1,202,24,"71,29",Appartement,71,3
2020-05-07 00:00:00,483800,34.0,RUE,DES ECOLES,6,1630.0,ST-GENIS-POUILLY,1,354,2,"138,05",Maison,101,5
2020-05-07 00:00:00,185000,183.0,RUE,DU VIEUX BOURG,14,1170.0,SEGNY,1,399,105,"45,12",Appartement,30,1
2020-05-07 00:00:00,188000,54.0,RUE,ARISTIDE BRIAND,10,1500.0,AMBERIEU-EN-BUGEY,1,4,10,"70,45",Appartement,75,3
2020-05-13 00:00:00,185000,99.0,RUE,DE L AMITIE,17,1300.0,BELLEY,1,34,25,"78,54",Appartement,77,4
2020-05-05 00:00:00,162000,16.0,RUE,DES HAUTAINS,6,1630.0,ST-GENIS-POUILLY,1,354,135,"52,58",Appartement,58,2
2020-04-17 00:00:00,76000,5245.0,,LES MARS,41,1410.0,MIJOUX,1,247,216,"30,98",Appartement,22,2
2020-04-29 00:00:00,367000,17.0,AV,DES ALPES,13,1210.0,FERNEY-VOLTAIRE,1,160,116,"95,66",Appartement,106,5
2020-05-19 00:00:00,324050,35.0,RUE,DES PRELES,42,1630.0,SERGY,1,401,9,"87,23",Appartement,87,4
2020-05-20 00:00:00,170000,78.0,AV,DU GEN SARRAIL,10,1500.0,AMBERIEU-EN-BUGEY,1,4,136,"92,47",Appartement,92,5
2020-05-15 00:00:00,79370,22.0,RUE,DE L AVENIR,4,1200.0,VALSERHONE,1,33,13,"89,2",Appartement,89,5
2020-05-15 00:00:00,69800,7.0,RUE,TURENNE,4,1200.0,VALSERHONE,1,33,17,"28,8",Appartement,40,1
2020-05-18 00:00:00,54120,86.0,RUE,GUSTAVE EIFFEL,26,1100.0,BELLIGNAT,1,31,20,"46,68",Appartement,46,2
2020-05-19 00:00:00,116500,16.0,AV,DU JURA,13,1210.0,FERNEY-VOLTAIRE,1,160,420,"2,36",Appartement,2,0
2020-05-12 00:00:00,136000,6.0,RUE,GEORGES MARIN,4,1200.0,VALSERHONE,1,33,56,"68,92",Appartement,68,3
2020-05-12 00:00:00,234810,346.0,RUE,DE PRE BAILLY,9,1170.0,GEX,1,173,105,"68,45",Appartement,68,3
2020-05-15 00:00:00,410000,195.0,IMP,DU SAUGY,18,1210.0,ORNEX,1,281,7,"102,52",Maison,103,4
2020-05-14 00:00:00,205000,6066.0,RUE,DES BATTOIRS,25,1710.0,THOIRY,1,419,101,"59,67",Appartement,59,2
2020-05-06 00:00:00,294000,348.0,RUE,DE PRE BAILLY,9,1170.0,GEX,1,173,50,"77,86",Appartement,77,4
2020-05-11 00:00:00,620000,72.0,CHE,DES COLLINES,42,1630.0,SERGY,1,401,2,"105,12",Maison,106,4
2020-05-12 00:00:00,230000,86.0,RUE,DE MEYRIN,13,1210.0,FERNEY-VOLTAIRE,1,160,1307,"63,27",Appartement,63,3
2020-05-15 00:00:00,469820,181.0,RUE,PARC JEAN MONNET,6,1630.0,ST-GENIS-POUILLY,1,354,17,"133,24",Appartement,133,4
2020-05-29 00:00:00,371550,28.0,CHE,DU PEUDEX,2,1220.0,DIVONNE-LES-BAINS,1,143,49,"67,33",Appartement,63,3
2020-05-12 00:00:00,315000,62.0,CHE,DU PONT DE GREMAZ,25,1710.0,THOIRY,1,419,43,"68,69",Appartement,65,3
2020-05-20 00:00:00,82500,1.0,ALL,ALBERT CAMUS,4,1200.0,VALSERHONE,1,33,309,"58,3",Appartement,59,2
2020-05-12 00:00:00,439785,10.0,RUE,DES HAUTAINS,6,1630.0,ST-GENIS-POUILLY,1,354,213,"111,06",Appartement,112,5
2020-05-18 00:00:00,65000,13.0,PL,DES FOURS,17,1300.0,BELLEY,1,34,3,"117,63",Appartement,117,5
2020-05-15 00:00:00,469000,4.0,CHE,DU MARAIS,20,1280.0,PREVESSIN-MOENS,1,313,4,"85,12",Appartement,82,4
2020-05-18 00:00:00,161000,67.0,RTE,DE GENEVE,11,1170.0,CESSY,1,71,18,"42,01",Appartement,42,2
2020-05-19 00:00:00,513350,644.0,RUE,D ARBERE,2,1220.0,DIVONNE-LES-BAINS,1,143,12,"96,46",Maison,96,5
2020-06-02 00:00:00,83000,67.0,RTE,DE CHAVORNOD,17,1300.0,BELLEY,1,34,22,"57,5",Appartement,58,3
2020-06-02 00:00:00,471810,96.0,RUE,DU JURA,2,1220.0,DIVONNE-LES-BAINS,1,143,14,"90,4",Appartement,90,4
2020-06-11 00:00:00,220470,282.0,CHE,DES LONGES RAYES,11,1170.0,CESSY,1,71,30,"42,59",Appartement,42,2
2020-06-04 00:00:00,243000,152.0,GR,GRANDE RUE,2,1220.0,DIVONNE-LES-BAINS,1,143,10,"50,11",Appartement,35,1
2020-06-04 00:00:00,100000,170.0,RUE,DES TERREAUX,9,1170.0,GEX,1,173,3,"32,6",Appartement,33,2
2020-05-29 00:00:00,193700,399.0,RUE,DU COTEILLON,15,1150.0,LAGNIEU,1,202,7,"103,62",Maison,88,4
