regrgp_nom,reg_nom,dep_nom,com_code,com_nom_maj,com_nom,dep_code,dep_id,reg_code
Province,Nouvelle-Aquitaine,Haute-Vienne,87040,CHATEAUNEUF-LA-FORET,Ch̢teauneuf-la-For̻t,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49285,SAINT-GERMAIN-SUR-MOINE,Saint-Germain-sur-Moine,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87047,COMPREIGNAC,Compreignac,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49287,SAINT-HILAIRE-SAINT-FLORENT,Saint-Hilaire-Saint-Florent,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87050,COUZEIX,Couzeix,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49288,SAINT-JEAN-DE-LA-CROIX,Saint-Jean-de-la-Croix,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87066,FLAVIGNAC,Flavignac,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49289,SAINT-JEAN-DE-LINIERES,Saint-Jean-de-Lini̬res,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87068,FROMENTAL,Fromental,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49293,SAINT-LAMBERT-DES-LEVEES,Saint-Lambert-des-Lev̩es,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87073,GORRE,Gorre,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49303,SAINT-MARTIN-D'ARCE,Saint-Martin-d'Arc̩,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87088,MAGNAC-BOURG,Magnac-Bourg,87,D087,75
Province,Pays de la Loire,Maine-et-Loire,49304,SAINT-MARTIN-DE-LA-PLACE,Saint-Martin-de-la-Place,49,D049,52
Province,Nouvelle-Aquitaine,Haute-Vienne,87089,MAGNAC-LAVAL,Magnac-Laval,87,D087,75
